MOD15A2H.A2000049.h12v09.006.2020041201756.Lai_500m,MOD15A2H,A2000049,Lat-1.719720006Lon-51.45899963Samp17Line17,2020041201756,48.0,46.0,46.0,43.0,43.0,41.0,34.0,8.0,7.0,70.0,70.0,55.0,55.0,3.0,11.0,11.0,2.0,15.0,40.0,40.0,68.0,68.0,41.0,34.0,34.0,45.0,59.0,59.0,69.0,69.0,30.0,11.0,11.0,1.0,2.0,45.0,45.0,38.0,53.0,53.0,11.0,11.0,5.0,3.0,3.0,1.0,30.0,30.0,12.0,12.0,2.0,1.0,3.0,3.0,70.0,62.0,62.0,9.0,8.0,4.0,1.0,1.0,1.0,3.0,3.0,6.0,6.0,2.0,1.0,1.0,1.0,13.0,6.0,8.0,6.0,6.0,2.0,1.0,1.0,0.0,1.0,1.0,3.0,3.0,2.0,1.0,3.0,8.0,70.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,2.0,7.0,70.0,70.0,68.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,7.0,7.0,3.0,1.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,11.0,56.0,11.0,7.0,5.0,5.0,4.0,4.0,7.0,7.0,7.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,11.0,7.0,9.0,9.0,50.0,21.0,21.0,13.0,13.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,50.0,50.0,10.0,10.0,65.0,30.0,21.0,13.0,13.0,10.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,33.0,33.0,25.0,25.0,65.0,30.0,30.0,14.0,7.0,7.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,12.0,12.0,25.0,15.0,15.0,11.0,11.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,12.0,12.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,7.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,9.0,4.0,2.0,2.0,3.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,57.0,45.0,52.0,52.0,4.0,4.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MOD15A2H.A2000057.h12v09.006.2020037215345.Lai_500m,MOD15A2H,A2000057,Lat-1.719720006Lon-51.45899963Samp17Line17,2020037215345,52.0,65.0,65.0,65.0,65.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,2.0,3.0,2.0,2.0,2.0,70.0,34.0,34.0,34.0,65.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,32.0,32.0,34.0,34.0,11.0,9.0,9.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,32.0,32.0,12.0,5.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,8.0,8.0,12.0,12.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,8.0,6.0,6.0,11.0,7.0,7.0,1.0,3.0,3.0,1.0,1.0,1.0,2.0,4.0,4.0,4.0,4.0,4.0,8.0,33.0,36.0,8.0,8.0,8.0,8.0,3.0,1.0,5.0,5.0,5.0,2.0,4.0,4.0,4.0,8.0,11.0,12.0,8.0,8.0,8.0,7.0,7.0,7.0,1.0,1.0,1.0,5.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,5.0,5.0,3.0,3.0,3.0,7.0,7.0,1.0,1.0,1.0,4.0,4.0,2.0,3.0,5.0,3.0,2.0,2.0,3.0,4.0,1.0,1.0,1.0,7.0,7.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,4.0,3.0,2.0,6.0,7.0,7.0,7.0,6.0,12.0,12.0,9.0,9.0,9.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,12.0,12.0,12.0,11.0,11.0,11.0,11.0,3.0,5.0,2.0,3.0,2.0,2.0,1.0,1.0,3.0,3.0,3.0,2.0,4.0,8.0,8.0,11.0,11.0,6.0,4.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,7.0,7.0,7.0,7.0,5.0,5.0,4.0,4.0,6.0,8.0,12.0,8.0,42.0,7.0,7.0,7.0,7.0,7.0,52.0,52.0,7.0,23.0,6.0,4.0,2.0,5.0,12.0,54.0,16.0,16.0,37.0,46.0,46.0,10.0,10.0,8.0,42.0,42.0,25.0,25.0,4.0,7.0,4.0,40.0,54.0,54.0,38.0,38.0,43.0,43.0,43.0,42.0,42.0,33.0,33.0,33.0,33.0,8.0,7.0,4.0
MOD15A2H.A2000065.h12v09.006.2020038182613.Lai_500m,MOD15A2H,A2000065,Lat-1.719720006Lon-51.45899963Samp17Line17,2020038182613,3.0,9.0,9.0,8.0,8.0,8.0,17.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,4.0,66.0,26.0,26.0,8.0,3.0,3.0,38.0,1.0,2.0,2.0,4.0,4.0,4.0,7.0,3.0,2.0,3.0,66.0,66.0,10.0,10.0,10.0,3.0,2.0,1.0,4.0,4.0,4.0,4.0,10.0,7.0,7.0,3.0,2.0,62.0,62.0,35.0,14.0,4.0,4.0,2.0,2.0,2.0,4.0,4.0,3.0,10.0,10.0,4.0,4.0,5.0,40.0,40.0,39.0,14.0,19.0,5.0,2.0,3.0,4.0,9.0,4.0,3.0,3.0,10.0,10.0,6.0,6.0,44.0,40.0,22.0,22.0,65.0,1.0,66.0,3.0,7.0,17.0,17.0,3.0,8.0,8.0,10.0,13.0,7.0,10.0,37.0,37.0,46.0,1.0,1.0,1.0,58.0,35.0,10.0,9.0,9.0,21.0,21.0,21.0,13.0,11.0,1.0,15.0,15.0,11.0,1.0,57.0,50.0,50.0,66.0,57.0,57.0,57.0,21.0,10.0,11.0,12.0,12.0,17.0,17.0,62.0,11.0,1.0,1.0,2.0,9.0,18.0,20.0,37.0,57.0,57.0,57.0,56.0,57.0,57.0,66.0,66.0,5.0,5.0,16.0,16.0,1.0,27.0,27.0,41.0,37.0,11.0,11.0,9.0,1.0,10.0,10.0,7.0,7.0,4.0,70.0,66.0,66.0,1.0,7.0,29.0,29.0,30.0,30.0,31.0,31.0,31.0,31.0,1.0,1.0,1.0,1.0,35.0,35.0,8.0,8.0,7.0,7.0,33.0,33.0,45.0,45.0,13.0,13.0,1.0,1.0,2.0,4.0,5.0,5.0,6.0,32.0,8.0,16.0,16.0,16.0,33.0,45.0,36.0,36.0,9.0,9.0,1.0,13.0,13.0,7.0,7.0,32.0,32.0,32.0,66.0,66.0,45.0,45.0,36.0,33.0,34.0,34.0,9.0,9.0,13.0,13.0,26.0,26.0,34.0,34.0,37.0,21.0,66.0,50.0,45.0,36.0,33.0,33.0,34.0,40.0,9.0,66.0,66.0,30.0,30.0,34.0,57.0,57.0,48.0,47.0,50.0,50.0,46.0,38.0,8.0,8.0,6.0,58.0,66.0,30.0,30.0,30.0,65.0,65.0,65.0,54.0,56.0,66.0,66.0,9.0,38.0,38.0,6.0,6.0,11.0
MOD15A2H.A2000073.h12v09.006.2020040184845.Lai_500m,MOD15A2H,A2000073,Lat-1.719720006Lon-51.45899963Samp17Line17,2020040184845,1.0,2.0,2.0,2.0,2.0,2.0,14.0,14.0,12.0,2.0,2.0,2.0,1.0,1.0,2.0,5.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,13.0,66.0,66.0,4.0,4.0,2.0,1.0,1.0,2.0,9.0,5.0,2.0,2.0,2.0,2.0,2.0,70.0,70.0,46.0,66.0,4.0,4.0,2.0,2.0,2.0,2.0,9.0,57.0,2.0,2.0,2.0,2.0,2.0,70.0,70.0,46.0,46.0,7.0,7.0,2.0,2.0,1.0,2.0,7.0,59.0,5.0,5.0,3.0,3.0,2.0,5.0,5.0,7.0,7.0,4.0,4.0,3.0,2.0,2.0,2.0,7.0,61.0,5.0,5.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,5.0,2.0,3.0,5.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,5.0,5.0,2.0,1.0,4.0,4.0,5.0,4.0,6.0,6.0,6.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,1.0,4.0,4.0,4.0,5.0,4.0,6.0,6.0,4.0,4.0,4.0,4.0,3.0,3.0,5.0,5.0,6.0,53.0,10.0,3.0,5.0,5.0,5.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,8.0,8.0,5.0,4.0,3.0,3.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,8.0,8.0,5.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,4.0,5.0,5.0,4.0,4.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,6.0,5.0,6.0,5.0,5.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,11.0,8.0,5.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,11.0,63.0,63.0,51.0,10.0,3.0,3.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,12.0,63.0,58.0,58.0,13.0,7.0,7.0,6.0,6.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,8.0
MOD15A2H.A2000081.h12v09.006.2020040173410.Lai_500m,MOD15A2H,A2000081,Lat-1.719720006Lon-51.45899963Samp17Line17,2020040173410,1.0,1.0,5.0,5.0,5.0,1.0,66.0,66.0,16.0,7.0,3.0,4.0,4.0,4.0,3.0,2.0,2.0,1.0,1.0,5.0,7.0,21.0,3.0,66.0,66.0,65.0,63.0,16.0,4.0,3.0,3.0,3.0,2.0,7.0,3.0,1.0,53.0,53.0,26.0,9.0,23.0,66.0,66.0,63.0,53.0,8.0,10.0,5.0,4.0,4.0,2.0,64.0,8.0,65.0,48.0,6.0,64.0,61.0,7.0,11.0,65.0,58.0,17.0,59.0,1.0,4.0,4.0,4.0,62.0,64.0,62.0,58.0,15.0,4.0,61.0,39.0,39.0,26.0,12.0,61.0,59.0,3.0,10.0,4.0,4.0,63.0,61.0,63.0,66.0,15.0,4.0,8.0,66.0,64.0,12.0,16.0,61.0,51.0,51.0,3.0,7.0,3.0,63.0,63.0,9.0,66.0,59.0,61.0,60.0,60.0,60.0,52.0,28.0,64.0,33.0,10.0,10.0,66.0,57.0,22.0,63.0,9.0,59.0,60.0,60.0,65.0,59.0,60.0,56.0,28.0,7.0,23.0,62.0,60.0,60.0,60.0,60.0,22.0,9.0,3.0,15.0,15.0,7.0,66.0,63.0,56.0,11.0,6.0,9.0,63.0,60.0,61.0,61.0,61.0,15.0,15.0,61.0,57.0,63.0,63.0,63.0,65.0,64.0,50.0,18.0,57.0,66.0,61.0,61.0,61.0,61.0,59.0,58.0,59.0,61.0,62.0,8.0,8.0,65.0,62.0,61.0,59.0,63.0,65.0,61.0,61.0,60.0,61.0,33.0,33.0,58.0,62.0,24.0,6.0,7.0,7.0,62.0,57.0,57.0,45.0,44.0,61.0,61.0,59.0,61.0,15.0,12.0,61.0,59.0,52.0,13.0,6.0,15.0,59.0,59.0,62.0,45.0,40.0,61.0,66.0,66.0,61.0,63.0,63.0,62.0,62.0,57.0,13.0,12.0,29.0,66.0,57.0,57.0,49.0,61.0,59.0,40.0,40.0,61.0,61.0,63.0,63.0,65.0,57.0,63.0,65.0,58.0,57.0,48.0,8.0,8.0,54.0,57.0,58.0,58.0,59.0,63.0,63.0,57.0,38.0,11.0,9.0,63.0,49.0,55.0,56.0,21.0,15.0,12.0,19.0,49.0,58.0,57.0,65.0,66.0,66.0,38.0,1.0,66.0,11.0,11.0,3.0,66.0,66.0,7.0,7.0,6.0,49.0,59.0
MOD15A2H.A2000089.h12v09.006.2020041193535.Lai_500m,MOD15A2H,A2000089,Lat-1.719720006Lon-51.45899963Samp17Line17,2020041193535,11.0,7.0,7.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,1.0,11.0,11.0,7.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,4.0,4.0,4.0,1.0,1.0,2.0,2.0,3.0,7.0,7.0,7.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,4.0,3.0,3.0,2.0,2.0,4.0,4.0,4.0,7.0,7.0,4.0,4.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,4.0,4.0,3.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,10.0,10.0,10.0,5.0,5.0,5.0,5.0,3.0,3.0,2.0,2.0,4.0,4.0,4.0,5.0,5.0,5.0,17.0,10.0,10.0,5.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,7.0,4.0,4.0,5.0,5.0,5.0,17.0,17.0,17.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,7.0,7.0,7.0,9.0,9.0,9.0,59.0,59.0,17.0,7.0,2.0,2.0,2.0,6.0,6.0,6.0,17.0,17.0,17.0,17.0,9.0,9.0,9.0,59.0,59.0,59.0,2.0,4.0,4.0,4.0,15.0,6.0,6.0,17.0,17.0,17.0,21.0,21.0,21.0,21.0,56.0,56.0,56.0,2.0,2.0,4.0,10.0,10.0,15.0,26.0,26.0,16.0,16.0,10.0,10.0,21.0,21.0,56.0,56.0,56.0
MOD15A2H.A2000097.h12v09.006.2020041040336.Lai_500m,MOD15A2H,A2000097,Lat-1.719720006Lon-51.45899963Samp17Line17,2020041040336,62.0,63.0,63.0,65.0,62.0,62.0,64.0,63.0,62.0,62.0,62.0,62.0,62.0,66.0,66.0,37.0,22.0,62.0,64.0,64.0,64.0,64.0,64.0,64.0,63.0,63.0,62.0,62.0,62.0,62.0,66.0,66.0,37.0,62.0,65.0,65.0,65.0,64.0,64.0,64.0,62.0,59.0,59.0,60.0,60.0,66.0,66.0,66.0,16.0,16.0,62.0,66.0,66.0,66.0,64.0,62.0,62.0,62.0,57.0,59.0,59.0,62.0,66.0,66.0,66.0,65.0,65.0,59.0,62.0,66.0,63.0,63.0,62.0,58.0,58.0,62.0,62.0,59.0,62.0,62.0,62.0,62.0,63.0,63.0,62.0,62.0,61.0,61.0,61.0,60.0,59.0,59.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,29.0,66.0,62.0,59.0,57.0,56.0,56.0,56.0,56.0,59.0,62.0,62.0,62.0,62.0,61.0,62.0,62.0,29.0,66.0,66.0,60.0,66.0,59.0,59.0,56.0,56.0,62.0,62.0,62.0,62.0,62.0,60.0,62.0,62.0,66.0,65.0,65.0,62.0,66.0,66.0,62.0,66.0,57.0,59.0,59.0,62.0,64.0,64.0,60.0,62.0,62.0,62.0,66.0,66.0,60.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,66.0,64.0,64.0,65.0,62.0,62.0,63.0,38.0,12.0,60.0,60.0,62.0,63.0,63.0,62.0,62.0,62.0,66.0,66.0,66.0,65.0,66.0,65.0,65.0,34.0,12.0,66.0,66.0,66.0,66.0,66.0,62.0,62.0,65.0,65.0,62.0,62.0,62.0,62.0,66.0,65.0,34.0,17.0,66.0,66.0,65.0,65.0,62.0,62.0,62.0,66.0,66.0,66.0,28.0,28.0,66.0,66.0,66.0,28.0,52.0,65.0,27.0,65.0,65.0,62.0,62.0,66.0,66.0,66.0,26.0,23.0,28.0,66.0,36.0,36.0,14.0,16.0,50.0,27.0,27.0,15.0,20.0,20.0,31.0,31.0,31.0,26.0,23.0,17.0,17.0,13.0,14.0,14.0,12.0,18.0,16.0,16.0,11.0,12.0,12.0,16.0,13.0,22.0,22.0,24.0,1.0,1.0,1.0,9.0,9.0,12.0,15.0,12.0,10.0,10.0,11.0,12.0,12.0,10.0,8.0,8.0,8.0,6.0,1.0,1.0,9.0,9.0,10.0
MOD15A2H.A2000105.h12v09.006.2020041070512.Lai_500m,MOD15A2H,A2000105,Lat-1.719720006Lon-51.45899963Samp17Line17,2020041070512,8.0,11.0,10.0,11.0,5.0,6.0,9.0,7.0,7.0,5.0,10.0,11.0,55.0,23.0,27.0,60.0,64.0,8.0,12.0,10.0,11.0,13.0,8.0,8.0,8.0,11.0,11.0,10.0,16.0,55.0,13.0,27.0,28.0,37.0,13.0,12.0,15.0,19.0,58.0,8.0,6.0,4.0,7.0,16.0,16.0,55.0,9.0,9.0,9.0,6.0,8.0,7.0,6.0,6.0,5.0,13.0,6.0,3.0,5.0,7.0,13.0,12.0,12.0,7.0,9.0,15.0,15.0,13.0,7.0,7.0,7.0,7.0,9.0,16.0,10.0,5.0,5.0,9.0,14.0,7.0,9.0,5.0,10.0,7.0,15.0,51.0,38.0,3.0,4.0,4.0,8.0,58.0,9.0,8.0,8.0,10.0,11.0,16.0,12.0,10.0,13.0,18.0,58.0,12.0,4.0,3.0,3.0,3.0,58.0,52.0,17.0,13.0,11.0,19.0,7.0,8.0,12.0,5.0,7.0,13.0,44.0,49.0,12.0,7.0,10.0,10.0,58.0,12.0,5.0,7.0,9.0,9.0,8.0,8.0,4.0,8.0,43.0,49.0,48.0,12.0,7.0,6.0,14.0,14.0,11.0,21.0,21.0,17.0,9.0,5.0,5.0,5.0,6.0,13.0,4.0,8.0,48.0,4.0,5.0,2.0,8.0,8.0,14.0,13.0,17.0,19.0,11.0,11.0,6.0,6.0,29.0,43.0,48.0,48.0,45.0,5.0,3.0,6.0,6.0,3.0,13.0,12.0,13.0,5.0,7.0,7.0,9.0,10.0,57.0,48.0,55.0,47.0,8.0,9.0,10.0,5.0,5.0,3.0,7.0,13.0,6.0,3.0,3.0,3.0,6.0,6.0,57.0,45.0,43.0,18.0,11.0,14.0,3.0,3.0,3.0,5.0,11.0,6.0,2.0,1.0,3.0,4.0,6.0,6.0,50.0,56.0,2.0,4.0,41.0,3.0,2.0,2.0,2.0,8.0,7.0,1.0,1.0,1.0,4.0,3.0,49.0,49.0,33.0,5.0,12.0,35.0,27.0,5.0,2.0,3.0,3.0,11.0,11.0,1.0,1.0,32.0,43.0,14.0,6.0,6.0,9.0,50.0,35.0,42.0,5.0,2.0,1.0,2.0,2.0,11.0,2.0,1.0,62.0,46.0,7.0,6.0,1.0,1.0,50.0,66.0,32.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,1.0
MOD15A2H.A2000113.h12v09.006.2020041213243.Lai_500m,MOD15A2H,A2000113,Lat-1.719720006Lon-51.45899963Samp17Line17,2020041213243,33.0,10.0,4.0,1.0,14.0,4.0,4.0,7.0,6.0,6.0,7.0,7.0,6.0,12.0,12.0,65.0,66.0,1.0,1.0,1.0,14.0,14.0,13.0,2.0,2.0,1.0,1.0,6.0,5.0,6.0,55.0,55.0,65.0,66.0,10.0,3.0,3.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,5.0,7.0,57.0,55.0,63.0,63.0,6.0,1.0,4.0,5.0,1.0,1.0,1.0,1.0,7.0,5.0,1.0,5.0,11.0,57.0,61.0,61.0,62.0,1.0,4.0,4.0,1.0,7.0,7.0,6.0,9.0,8.0,9.0,6.0,7.0,11.0,11.0,57.0,57.0,12.0,1.0,13.0,4.0,5.0,1.0,1.0,6.0,8.0,7.0,9.0,10.0,7.0,8.0,7.0,9.0,9.0,7.0,7.0,13.0,1.0,2.0,3.0,3.0,6.0,8.0,6.0,8.0,7.0,4.0,6.0,6.0,7.0,7.0,7.0,13.0,55.0,11.0,2.0,3.0,3.0,8.0,8.0,7.0,9.0,6.0,4.0,7.0,8.0,7.0,8.0,8.0,49.0,52.0,8.0,6.0,7.0,3.0,8.0,9.0,9.0,8.0,7.0,4.0,3.0,6.0,8.0,11.0,11.0,1.0,9.0,5.0,6.0,3.0,3.0,9.0,9.0,1.0,1.0,7.0,3.0,3.0,6.0,6.0,7.0,7.0,12.0,12.0,10.0,6.0,4.0,7.0,8.0,9.0,9.0,7.0,7.0,7.0,3.0,7.0,7.0,7.0,7.0,47.0,47.0,10.0,13.0,3.0,6.0,7.0,8.0,7.0,6.0,6.0,6.0,14.0,14.0,5.0,5.0,6.0,47.0,44.0,44.0,13.0,1.0,4.0,5.0,6.0,6.0,5.0,4.0,6.0,1.0,1.0,1.0,5.0,5.0,4.0,4.0,65.0,7.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,6.0,5.0,4.0,7.0,7.0,1.0,6.0,5.0,3.0,3.0,4.0,3.0,1.0,1.0,4.0,3.0,5.0,5.0,5.0,5.0,4.0,4.0,3.0,6.0,5.0,5.0,6.0,5.0,4.0,3.0,1.0,1.0,3.0,3.0,5.0,5.0,5.0,3.0,3.0,3.0,4.0,2.0,4.0,5.0,5.0,6.0,36.0,21.0,1.0,4.0,3.0,3.0,1.0,1.0
MOD15A2H.A2000121.h12v09.006.2020042013349.Lai_500m,MOD15A2H,A2000121,Lat-1.719720006Lon-51.45899963Samp17Line17,2020042013349,8.0,8.0,8.0,5.0,5.0,5.0,4.0,4.0,4.0,2.0,3.0,4.0,3.0,4.0,4.0,5.0,5.0,8.0,8.0,8.0,8.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,5.0,7.0,7.0,7.0,9.0,9.0,9.0,5.0,5.0,3.0,5.0,3.0,4.0,4.0,5.0,5.0,4.0,5.0,7.0,7.0,7.0,7.0,9.0,8.0,8.0,8.0,3.0,3.0,3.0,4.0,5.0,5.0,5.0,5.0,6.0,4.0,3.0,3.0,5.0,5.0,5.0,8.0,8.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,6.0,6.0,1.0,3.0,3.0,5.0,5.0,4.0,4.0,4.0,8.0,8.0,8.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,10.0,10.0,10.0,10.0,5.0,5.0,5.0,6.0,5.0,1.0,1.0,3.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,1.0,1.0,1.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,3.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,6.0,5.0,3.0,4.0,4.0,5.0,5.0,7.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,5.0,4.0,4.0,6.0,6.0,6.0,6.0,5.0,4.0,5.0,5.0,5.0,5.0,7.0,7.0,7.0,5.0,5.0,5.0,3.0,6.0,6.0,6.0,4.0,4.0,3.0,3.0,3.0,5.0,5.0,4.0,8.0,8.0,8.0,7.0,6.0,6.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,6.0,7.0,7.0,6.0,6.0,1.0,1.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,8.0,6.0,6.0,8.0,8.0,8.0,8.0,8.0,1.0,1.0,6.0,6.0,6.0,4.0,4.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,15.0,14.0,14.0,14.0,7.0,7.0
