system:time_start,Fpar_500m
"Feb 18, 2000",32
"Feb 26, 2000",13
"mar. 5, 2000",59
"mar. 13, 2000",17
"mar. 21, 2000",89
"mar. 29, 2000",11
"Apr 6, 2000",89
"Apr 14, 2000",41
"Apr 22, 2000",29
"Apr 30, 2000",21
"May 8, 2000",89
"May 16, 2000",88
"May 24, 2000",63
"jun. 1, 2000",93
"jun. 9, 2000",87
"jun. 17, 2000",94
"jun. 25, 2000",44
"jul. 3, 2000",88
"jul. 11, 2000",35
"jul. 19, 2000",84
"jul. 27, 2000",87
"Aug 4, 2000",88
"Aug 12, 2000",
"Aug 20, 2000",87
"Aug 28, 2000",88
"Sep 5, 2000",53
"Sep 13, 2000",62
"Sep 21, 2000",90
"Sep 29, 2000",90
"Oct 7, 2000",89
"Oct 15, 2000",63
"Oct 23, 2000",75
"Oct 31, 2000",87
"nov. 8, 2000",79
"nov. 16, 2000",51
"nov. 24, 2000",87
"Dec 2, 2000",92
"Dec 10, 2000",16
"Dec 18, 2000",71
"Dec 26, 2000",30
"jan. 1, 2001",31
"jan. 9, 2001",46
"jan. 17, 2001",68
"jan. 25, 2001",74
"Feb 2, 2001",83
"Feb 10, 2001",11
"Feb 18, 2001",46
"Feb 26, 2001",26
"mar. 6, 2001",6
"mar. 14, 2001",90
"mar. 22, 2001",27
"mar. 30, 2001",73
"Apr 7, 2001",38
"Apr 15, 2001",76
"Apr 23, 2001",8
"May 1, 2001",81
"May 9, 2001",77
"May 17, 2001",23
"May 25, 2001",69
"jun. 2, 2001",88
"jun. 10, 2001",56
"jul. 4, 2001",88
"jul. 12, 2001",69
"jul. 20, 2001",34
"jul. 28, 2001",89
"Aug 5, 2001",89
"Aug 13, 2001",90
"Aug 21, 2001",76
"Aug 29, 2001",88
"Sep 6, 2001",73
"Sep 14, 2001",90
"Sep 22, 2001",89
"Sep 30, 2001",88
"Oct 8, 2001",74
"Oct 16, 2001",77
"Oct 24, 2001",33
"nov. 1, 2001",78
"nov. 9, 2001",88
"nov. 17, 2001",67
"nov. 25, 2001",46
"Dec 3, 2001",55
"Dec 11, 2001",54
"Dec 19, 2001",90
"Dec 27, 2001",63
"jan. 1, 2002",40
"jan. 9, 2002",77
"jan. 17, 2002",19
"jan. 25, 2002",43
"Feb 2, 2002",8
"Feb 10, 2002",16
"Feb 18, 2002",71
"Feb 26, 2002",48
"mar. 6, 2002",38
"mar. 14, 2002",13
"mar. 22, 2002",62
"mar. 30, 2002",62
"Apr 7, 2002",29
"Apr 15, 2002",71
"Apr 23, 2002",56
"May 1, 2002",40
"May 9, 2002",36
"May 17, 2002",85
"May 25, 2002",81
"jun. 2, 2002",80
"jun. 10, 2002",80
"jun. 18, 2002",89
"jun. 26, 2002",86
"jul. 4, 2002",79
"jul. 12, 2002",78
"jul. 20, 2002",78
"jul. 28, 2002",84
"Aug 5, 2002",83
"Aug 13, 2002",90
"Aug 21, 2002",83
"Aug 29, 2002",84
"Sep 6, 2002",82
"Sep 14, 2002",87
"Sep 22, 2002",90
"Sep 30, 2002",85
"Oct 8, 2002",65
"Oct 16, 2002",36
"Oct 24, 2002",65
"nov. 1, 2002",97
"nov. 9, 2002",13
"nov. 17, 2002",24
"nov. 25, 2002",60
"Dec 3, 2002",10
"Dec 11, 2002",80
"Dec 19, 2002",63
"Dec 27, 2002",85
"jan. 1, 2003",68
"jan. 9, 2003",53
"jan. 17, 2003",22
"jan. 25, 2003",87
"Feb 2, 2003",83
"Feb 10, 2003",10
"Feb 18, 2003",12
"Feb 26, 2003",9
"mar. 6, 2003",62
"mar. 14, 2003",72
"mar. 22, 2003",44
"mar. 30, 2003",26
"Apr 7, 2003",67
"Apr 15, 2003",35
"Apr 23, 2003",17
"May 1, 2003",25
"May 9, 2003",54
"May 17, 2003",88
"May 25, 2003",67
"jun. 2, 2003",59
"jun. 10, 2003",31
"jun. 18, 2003",87
"jun. 26, 2003",91
"jul. 4, 2003",89
"jul. 12, 2003",89
"jul. 20, 2003",74
"jul. 28, 2003",77
"Aug 5, 2003",55
"Aug 13, 2003",90
"Aug 21, 2003",88
"Aug 29, 2003",89
"Sep 6, 2003",74
"Sep 14, 2003",44
"Sep 22, 2003",92
"Sep 30, 2003",90
"Oct 8, 2003",78
"Oct 16, 2003",26
"Oct 24, 2003",88
"nov. 1, 2003",71
"nov. 9, 2003",78
"nov. 17, 2003",31
"nov. 25, 2003",94
"Dec 3, 2003",39
"Dec 11, 2003",61
"Dec 19, 2003",5
"Dec 27, 2003",46
"jan. 1, 2004",15
"jan. 9, 2004",15
"jan. 17, 2004",22
"jan. 25, 2004",59
"Feb 2, 2004",7
"Feb 10, 2004",13
"Feb 18, 2004",14
"Feb 26, 2004",40
"mar. 5, 2004",45
"mar. 13, 2004",27
"mar. 21, 2004",13
"mar. 29, 2004",24
"Apr 6, 2004",77
"Apr 14, 2004",26
"Apr 22, 2004",78
"Apr 30, 2004",72
"May 8, 2004",82
"May 16, 2004",36
"May 24, 2004",62
"jun. 1, 2004",90
"jun. 9, 2004",89
"jun. 17, 2004",87
"jun. 25, 2004",81
"jul. 3, 2004",87
"jul. 11, 2004",68
"jul. 19, 2004",89
"jul. 27, 2004",89
"Aug 4, 2004",88
"Aug 12, 2004",89
"Aug 20, 2004",83
"Aug 28, 2004",89
"Sep 5, 2004",89
"Sep 13, 2004",47
"Sep 21, 2004",85
"Sep 29, 2004",57
"Oct 7, 2004",79
"Oct 15, 2004",28
"Oct 23, 2004",43
"Oct 31, 2004",35
"nov. 8, 2004",36
"nov. 16, 2004",89
"nov. 24, 2004",90
"Dec 2, 2004",70
"Dec 10, 2004",42
"Dec 18, 2004",25
"Dec 26, 2004",53
"jan. 1, 2005",45
"jan. 9, 2005",38
"jan. 17, 2005",55
"jan. 25, 2005",51
"Feb 2, 2005",30
"Feb 10, 2005",31
"Feb 18, 2005",9
"Feb 26, 2005",38
"mar. 6, 2005",10
"mar. 14, 2005",14
"mar. 22, 2005",40
"mar. 30, 2005",14
"Apr 7, 2005",43
"Apr 15, 2005",31
"Apr 23, 2005",12
"May 1, 2005",31
"May 9, 2005",43
"May 17, 2005",38
"May 25, 2005",84
"jun. 2, 2005",89
"jun. 10, 2005",87
"jun. 18, 2005",89
"jun. 26, 2005",90
"jul. 4, 2005",72
"jul. 12, 2005",87
"jul. 20, 2005",89
"jul. 28, 2005",90
"Aug 5, 2005",89
"Aug 13, 2005",73
"Aug 21, 2005",90
"Aug 29, 2005",76
"Sep 6, 2005",89
"Sep 14, 2005",90
"Sep 22, 2005",88
"Sep 30, 2005",81
"Oct 8, 2005",75
"Oct 15, 2005",38
"Oct 24, 2005",89
"nov. 1, 2005",26
"nov. 9, 2005",42
"nov. 17, 2005",11
"nov. 25, 2005",17
"Dec 3, 2005",7
"Dec 11, 2005",90
"Dec 19, 2005",93
"Dec 27, 2005",27
"jan. 1, 2006",27
"jan. 9, 2006",32
"jan. 17, 2006",80
"jan. 25, 2006",30
"Feb 2, 2006",27
"Feb 10, 2006",25
"Feb 18, 2006",70
"Feb 26, 2006",14
"mar. 6, 2006",24
"mar. 14, 2006",9
"mar. 22, 2006",39
"mar. 30, 2006",39
"Apr 7, 2006",81
"Apr 15, 2006",17
"Apr 23, 2006",99
"May 1, 2006",30
"May 9, 2006",81
"May 17, 2006",33
"May 25, 2006",91
"jun. 2, 2006",80
"jun. 10, 2006",57
"jun. 18, 2006",83
"jun. 26, 2006",85
"jul. 4, 2006",89
"jul. 12, 2006",89
"jul. 20, 2006",85
"jul. 28, 2006",63
"Aug 5, 2006",90
"Aug 13, 2006",57
"Aug 21, 2006",89
"Aug 29, 2006",90
"Sep 6, 2006",89
"Sep 14, 2006",33
"Sep 22, 2006",86
"Sep 30, 2006",65
"Oct 8, 2006",79
"Oct 16, 2006",97
